Complaint,Category,Urgency,clean_complaint,Category_encoded,Urgency_encoded
I can’t add a new address — button does nothing.,Account & Shipping,Low,add new address button nothing,0,2
Flash sale prices aren’t reflected during checkout. and I need help urgently,Promotions,Immediate,flash sale price reflected checkout need help urgently,5,1
System declined my payment without any reason. — this is very frustrating,Payments,Immediate,system declined payment without reason frustrating,3,1
The shipping company marked it as delivered to the wrong city. and I need help urgently,Order Tracking,Medium,shipping company marked delivered wrong city need help urgently,2,3
Site logs me out randomly. which is unacceptable,Technical Issues,Medium,site log randomly unacceptable,7,3
I never received the promised sign-up bonus. and I don't know what to do next,Promotions,Medium,never received promised sign bonus know next,5,3
It looks like a returned item — packaging was already opened. — this is very frustrating,Product Issues,Low,look like returned item packaging already opened frustrating,4,2
"Order timed out after payment, but money is gone.",Payments,Low,order timed payment money gone,3,2
No updates in 7 days — where is my stuff? even after multiple attempts,Order Tracking,Medium,update day stuff even multiple attempt,2,3
I paid for express delivery and it’s still not shipped. — this is very frustrating,Order Tracking,Low,paid express delivery still shipped frustrating,2,2
The discount code I got by email doesn’t work on any items. even after multiple attempts,Promotions,High,discount code got email work item even multiple attempt,5,0
Your support team said I’d get refunded — it's been a week. despite following all instructions,Refunds,Medium,support team said get refunded week despite following instruction,6,3
It shipped to the wrong apartment. — this is very frustrating,Account & Shipping,Low,shipped wrong apartment frustrating,0,2
"Order timed out after payment, but money is gone. — this is very frustrating",Payments,Medium,order timed payment money gone frustrating,3,3
I never received the promised sign-up bonus. even after multiple attempts,Promotions,Medium,never received promised sign bonus even multiple attempt,5,3
Site logs me out randomly. and there's no explanation anywhere,Technical Issues,High,site log randomly explanation anywhere,7,0
I’m stuck on the loading screen forever. which is unacceptable,Technical Issues,Immediate,stuck loading screen forever unacceptable,7,1
No updates in 7 days — where is my stuff? — this is very frustrating,Order Tracking,Low,update day stuff frustrating,2,2
Package was rerouted without telling me. — this is very frustrating,Order Tracking,High,package rerouted without telling frustrating,2,0
It has a foul odor like chemicals. which is unacceptable,Product Issues,High,foul odor like chemical unacceptable,4,0
I’m stuck on the loading screen forever. and I don't know what to do next,Technical Issues,Medium,stuck loading screen forever know next,7,3
I never received the promised sign-up bonus. which is unacceptable,Promotions,High,never received promised sign bonus unacceptable,5,0
I clicked on a 15% off ad and it vanished at checkout.,Promotions,Low,clicked vanished checkout,5,2
I can’t add a new address — button does nothing. and I need help urgently,Account & Shipping,Medium,add new address button nothing need help urgently,0,3
"The return was delivered, but no refund yet. and I need help urgently",Refunds,Low,return delivered refund yet need help urgently,6,2
Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Order Issues,Medium,duplicate order placed mistake cancel despite following instruction,1,3
This isn't what I ordered — it’s the wrong model. and I don't know what to do next,Product Issues,Immediate,ordered wrong model know next,4,1
I can’t add a new address — button does nothing. please fix this ASAP,Account & Shipping,Low,add new address button nothing please fix asap,0,2
There are defects in the stitching of this garment. please fix this ASAP,Product Issues,High,defect stitching garment please fix asap,4,0
The courier lost my order — I need a replacement ASAP. despite following all instructions,Order Tracking,Immediate,courier lost order need replacement asap despite following instruction,2,1
"The box arrived empty, just packing materials. please fix this ASAP",Order Issues,Immediate,box arrived empty packing material please fix asap,1,1
There are defects in the stitching of this garment. and I don't know what to do next,Product Issues,Medium,defect stitching garment know next,4,3
Used Apple Pay — no order confirmation received. please fix this ASAP,Payments,Medium,used apple pay order confirmation received please fix asap,3,3
The courier lost my order — I need a replacement ASAP. please fix this ASAP,Order Tracking,High,courier lost order need replacement asap please fix asap,2,0
The discount code I got by email doesn’t work on any items. and I don't know what to do next,Promotions,High,discount code got email work item know next,5,0
"I used a valid code and it applied, but was later removed. and I don't know what to do next",Promotions,Low,used valid code applied later removed know next,5,2
