Complaint,Category,Urgency
I can’t add a new address — button does nothing.,Account & Shipping,Low
Flash sale prices aren’t reflected during checkout. and I need help urgently,Promotions,Immediate
System declined my payment without any reason. — this is very frustrating,Payments,Immediate
The shipping company marked it as delivered to the wrong city. and I need help urgently,Order Tracking,Medium
Site logs me out randomly. which is unacceptable,Technical Issues,Medium
I never received the promised sign-up bonus. and I don't know what to do next,Promotions,Medium
It looks like a returned item — packaging was already opened. — this is very frustrating,Product Issues,Low
"Order timed out after payment, but money is gone.",Payments,Low
No updates in 7 days — where is my stuff? even after multiple attempts,Order Tracking,Medium
I paid for express delivery and it’s still not shipped. — this is very frustrating,Order Tracking,Low
The discount code I got by email doesn’t work on any items. even after multiple attempts,Promotions,High
Your support team said I’d get refunded — it's been a week. despite following all instructions,Refunds,Medium
It shipped to the wrong apartment. — this is very frustrating,Account & Shipping,Low
"Order timed out after payment, but money is gone. — this is very frustrating",Payments,Medium
I never received the promised sign-up bonus. even after multiple attempts,Promotions,Medium
Site logs me out randomly. and there's no explanation anywhere,Technical Issues,High
I’m stuck on the loading screen forever. which is unacceptable,Technical Issues,Immediate
No updates in 7 days — where is my stuff? — this is very frustrating,Order Tracking,Low
Package was rerouted without telling me. — this is very frustrating,Order Tracking,High
It has a foul odor like chemicals. which is unacceptable,Product Issues,High
I’m stuck on the loading screen forever. and I don't know what to do next,Technical Issues,Medium
I never received the promised sign-up bonus. which is unacceptable,Promotions,High
I clicked on a 15% off ad and it vanished at checkout.,Promotions,Low
I can’t add a new address — button does nothing. and I need help urgently,Account & Shipping,Medium
"The return was delivered, but no refund yet. and I need help urgently",Refunds,Low
Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Order Issues,Medium
This isn't what I ordered — it’s the wrong model. and I don't know what to do next,Product Issues,Immediate
I can’t add a new address — button does nothing. please fix this ASAP,Account & Shipping,Low
There are defects in the stitching of this garment. please fix this ASAP,Product Issues,High
The courier lost my order — I need a replacement ASAP. despite following all instructions,Order Tracking,Immediate
"The box arrived empty, just packing materials. please fix this ASAP",Order Issues,Immediate
There are defects in the stitching of this garment. and I don't know what to do next,Product Issues,Medium
Used Apple Pay — no order confirmation received. please fix this ASAP,Payments,Medium
The courier lost my order — I need a replacement ASAP. please fix this ASAP,Order Tracking,High
The discount code I got by email doesn’t work on any items. and I don't know what to do next,Promotions,High
"I used a valid code and it applied, but was later removed. and I don't know what to do next",Promotions,Low
"The box arrived empty, just packing materials. even after multiple attempts",Order Issues,High
There are defects in the stitching of this garment. even after multiple attempts,Product Issues,High
You promised a refund 10 days ago — still nothing in my account. — this is very frustrating,Refunds,Medium
"Tracking says delivered, but nothing is at my door. despite following all instructions",Order Tracking,High
App is extremely slow today. despite following all instructions,Technical Issues,High
Duplicate orders were placed by mistake and I can't cancel. even after multiple attempts,Order Issues,Immediate
You sent me a tracking number that doesn’t exist. even after multiple attempts,Order Tracking,Medium
"Tracking says delivered, but nothing is at my door. and it's really disappointing",Order Tracking,Immediate
Error message keeps popping up during login. and I need help urgently,Technical Issues,High
You refunded the wrong amount. even after multiple attempts,Refunds,Medium
Everything came except the most expensive item I paid for. please fix this ASAP,Order Issues,Medium
My order shows 'fulfilled' but I never received it. please fix this ASAP,Order Issues,High
The app froze during checkout and now my cart is empty. despite following all instructions,Technical Issues,High
Billing and shipping addresses keep getting swapped. please fix this ASAP,Account & Shipping,High
"The box arrived empty, just packing materials. and I need help urgently",Order Issues,High
It has a foul odor like chemicals. even after multiple attempts,Product Issues,High
